Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps
2018-02-05,Squat,Strength,,,3,5,225.0,
2018-05-11,Fitbit calorie adjustment,Cardio,710.0,1,,,,4340
2018-05-12,Fitbit calorie adjustment,Cardio,357.0,1,,,,1826
2018-05-13,Fitbit calorie adjustment,Cardio,641.0,1,,,,1985
2018-05-14,Fitbit calorie adjustment,Cardio,956.0,1,,,,8228
2018-05-15,Fitbit calorie adjustment,Cardio,1054.0,1,,,,9456
2018-05-16,Fitbit calorie adjustment,Cardio,1089.0,1,,,,7628
2018-05-17,Fitbit calorie adjustment,Cardio,1140.0,1,,,,7757
2018-05-18,Fitbit calorie adjustment,Cardio,826.0,1,,,,3457
2018-05-19,Fitbit calorie adjustment,Cardio,1312.0,1,,,,10147
2018-05-20,Fitbit calorie adjustment,Cardio,1318.0,1,,,,8213
2018-05-21,Fitbit calorie adjustment,Cardio,850.0,1,,,,8135
2018-05-22,Fitbit calorie adjustment,Cardio,1087.0,1,,,,7800
2018-05-23,Fitbit calorie adjustment,Cardio,857.0,1,,,,8615
2018-05-24,Fitbit calorie adjustment,Cardio,1505.0,1,,,,7891
2018-05-25,Fitbit calorie adjustment,Cardio,2156.0,1,,,,13070
2018-05-26,Fitbit calorie adjustment,Cardio,2761.0,1,,,,11836
2018-05-27,Fitbit calorie adjustment,Cardio,2003.0,1,,,,12442
2018-05-28,Fitbit calorie adjustment,Cardio,319.0,1,,,,2895
2018-05-29,Fitbit calorie adjustment,Cardio,1105.0,1,,,,3322
2018-05-30,Fitbit calorie adjustment,Cardio,1426.0,1,,,,5383
2018-05-31,Fitbit calorie adjustment,Cardio,1045.0,1,,,,10282
2018-06-01,Fitbit calorie adjustment,Cardio,2386.0,1,,,,13116
2018-06-02,Fitbit calorie adjustment,Cardio,1098.0,1,,,,4426
2018-06-03,Fitbit calorie adjustment,Cardio,1611.0,1,,,,11201
2018-06-04,Fitbit calorie adjustment,Cardio,945.0,1,,,,6721
2018-06-05,Fitbit calorie adjustment,Cardio,-58.0,1,,,,507
