Date,Fitbit body fat %,Fitbit steps,Fitbit tracked sleep minutes,Weight
2018-01-01,,6268.0,305.0,
2018-01-02,,5279.0,424.0,
2018-01-03,,1099.0,480.0,
2018-01-04,,2609.0,,
2018-01-05,,5381.0,317.0,
2018-01-06,,5557.0,535.0,
2018-01-07,,7230.0,360.0,
2018-01-08,49.7,12674.0,426.0,257.4
2018-01-09,,5903.0,453.0,
2018-01-10,,6873.0,428.0,
2018-01-11,,9190.0,493.0,
2018-01-12,,7011.0,343.0,
2018-01-13,,7845.0,512.0,
2018-01-14,,9832.0,373.0,
2018-01-15,,5586.0,419.0,258.0
2018-01-16,,5328.0,513.0,
2018-01-17,,6505.0,373.0,
2018-01-18,,6580.0,371.0,
2018-01-19,,5401.0,438.0,
2018-01-20,,7481.0,476.0,
2018-01-21,,8368.0,308.0,
2018-01-22,,5957.0,353.0,252.4
2018-01-23,,6508.0,390.0,
2018-01-24,,8057.0,429.0,
2018-01-25,,9963.0,306.0,
2018-01-26,,4456.0,387.0,
2018-01-27,,16844.0,408.0,
2018-01-28,,11563.0,557.0,
2018-01-29,49.7,6764.0,362.0,251.2
2018-01-30,,6947.0,444.0,
2018-01-31,,6350.0,405.0,
2018-02-01,,6489.0,476.0,
2018-02-02,,9300.0,406.0,
2018-02-03,,3950.0,556.0,
2018-02-04,,5141.0,457.0,
2018-02-05,,2122.0,476.0,249.2
2018-02-06,,10343.0,373.0,
2018-02-07,,9229.0,281.0,
2018-02-08,,8141.0,439.0,
2018-02-09,,11121.0,433.0,
2018-02-10,,7565.0,360.0,
2018-02-11,,8574.0,477.0,
2018-02-12,,3113.0,407.0,247.4
2018-02-13,,5495.0,434.0,
2018-02-14,,14116.0,456.0,
2018-02-15,,8740.0,465.0,
2018-02-16,,8910.0,409.0,
2018-02-17,,9295.0,356.0,
2018-02-18,,5705.0,603.0,
2018-02-19,,9193.0,389.0,
2018-02-20,,8955.0,524.0,249.8
2018-02-21,,7352.0,367.0,
2018-02-22,,7501.0,399.0,245.4
2018-02-23,,3944.0,298.0,
2018-02-24,,9704.0,512.0,
2018-02-25,,8866.0,499.0,
2018-02-26,,10458.0,466.0,242.6
2018-02-27,,8014.0,260.0,
2018-02-28,,6996.0,388.0,
2018-03-01,,6332.0,510.0,
2018-03-02,,9690.0,435.0,
2018-03-03,,1691.0,384.0,
2018-03-04,,11053.0,0.0,
2018-03-05,,6821.0,368.0,248.2
2018-03-06,,9139.0,456.0,
2018-03-07,,7552.0,402.0,
2018-03-08,,4882.0,460.0,
2018-03-09,,19178.0,469.0,245.3
2018-03-10,,20391.0,300.0,
2018-03-11,,20736.0,183.0,
2018-03-12,,7215.0,448.0,
2018-03-13,49.7,6948.0,513.0,243.4
2018-03-14,,7566.0,419.0,
2018-03-15,,10977.0,481.0,
2018-03-16,,6128.0,709.0,
2018-03-17,,7567.0,446.0,
2018-03-18,,2810.0,391.0,
2018-03-19,,5708.0,360.0,241.6
2018-03-20,,8656.0,385.0,
2018-03-21,,6118.0,386.0,
2018-03-22,,5420.0,424.0,
2018-03-23,,10115.0,376.0,
2018-03-24,,3467.0,316.0,
2018-03-25,,9127.0,365.0,
2018-03-26,,6317.0,482.0,244.8
2018-03-27,,5497.0,518.0,
2018-03-28,,3760.0,460.0,
2018-03-29,,6748.0,590.0,
2018-03-30,,12112.0,380.0,
2018-03-31,,10082.0,,
2018-04-01,,7128.0,,
2018-04-02,,5493.0,,243.8
2018-04-03,,9877.0,473.0,
2018-04-04,,9988.0,442.0,
2018-04-05,,11026.0,488.0,
2018-04-06,,8380.0,377.0,
2018-04-07,,7684.0,335.0,
2018-04-08,,8764.0,391.0,
2018-04-09,48.7,5577.0,412.0,242.0
2018-04-10,,6561.0,415.0,
2018-04-11,,4701.0,611.0,
2018-04-12,,5792.0,360.0,
2018-04-13,,5359.0,609.0,
2018-04-14,,7266.0,423.0,
2018-04-15,,7780.0,449.0,
2018-04-16,47.7,5905.0,435.0,239.8
2018-04-17,,5126.0,429.0,
2018-04-18,,6256.0,486.0,
2018-04-19,,13674.0,385.0,
2018-04-20,,10659.0,515.0,
2018-04-21,,5752.0,371.0,
2018-04-22,,9077.0,409.0,
2018-04-23,,7327.0,470.0,241.2
2018-04-24,,5703.0,493.0,
2018-04-25,,6302.0,440.0,
2018-04-26,,9400.0,347.0,
2018-04-27,,8194.0,269.0,
2018-04-28,,11486.0,,
2018-04-29,,11027.0,243.0,
2018-04-30,,7906.0,469.0,240.8
2018-05-01,,5388.0,,
2018-05-02,,8433.0,484.0,
2018-05-03,,8842.0,481.0,
2018-05-04,,6005.0,438.0,
2018-05-05,,7746.0,547.0,
2018-05-06,,6136.0,298.0,
2018-05-07,,7741.0,644.0,
2018-05-08,47.7,5811.0,404.0,239.2
2018-05-09,,6917.0,437.0,
2018-05-10,,6197.0,414.0,
2018-05-11,,4340.0,381.0,
2018-05-12,,1826.0,430.0,
2018-05-13,,1985.0,662.0,
2018-05-14,,8228.0,395.0,238.8
2018-05-15,,9456.0,386.0,
2018-05-16,,7628.0,411.0,
2018-05-17,,7757.0,452.0,
2018-05-18,,3457.0,464.0,
2018-05-19,,10147.0,511.0,
2018-05-20,,8213.0,341.0,
2018-05-21,,8135.0,343.0,239.4
2018-05-22,,7800.0,648.0,
2018-05-23,,8615.0,456.0,
2018-05-24,,7891.0,494.0,
2018-05-25,,13070.0,146.0,
2018-05-26,,11836.0,350.0,
2018-05-27,,12442.0,253.0,
2018-05-28,,2895.0,668.0,
2018-05-29,,3322.0,567.0,
2018-05-30,,5383.0,352.0,
2018-05-31,,10282.0,492.0,
2018-06-01,,13116.0,496.0,
2018-06-02,,4426.0,502.0,
2018-06-03,,11201.0,379.0,
2018-06-04,47.7,6721.0,462.0,237.5
2018-06-05,,507.0,327.0,
